iteration,loss,psnr,ssim
100,0.4531184434890747,18.026609420776367,0.03269345313310623
200,0.45041167736053467,18.376195907592773,0.035905621945858
300,0.4463934600353241,18.972652435302734,0.04052833467721939
400,0.4435291886329651,19.17727279663086,0.04381459951400757
500,0.4369547665119171,19.419418334960938,0.057281989604234695
600,0.4331139922142029,19.79578399658203,0.063294917345047
700,0.42751544713974,19.82314109802246,0.075079545378685
800,0.4260457754135132,19.785152435302734,0.07822441309690475
900,0.4271905720233917,19.39137840270996,0.07920075953006744
1000,0.4089568853378296,20.23067855834961,0.11459819972515106
1100,0.41028961539268494,19.70619773864746,0.11558359861373901
1200,0.3907914161682129,20.64375877380371,0.15390388667583466
1300,0.4015558958053589,19.8785457611084,0.1354677379131317
1400,0.37483540177345276,20.696609497070312,0.191903755068779
1500,0.3598095178604126,20.86691665649414,0.22556434571743011
1600,0.3232359290122986,21.336002349853516,0.3075692057609558
1700,0.31227564811706543,21.50786781311035,0.3324591815471649
1800,0.28753554821014404,21.553316116333008,0.39032721519470215
1900,0.23744073510169983,22.61722183227539,0.5012744665145874
2000,0.2432844489812851,22.677553176879883,0.48514968156814575
2100,0.18004882335662842,23.203075408935547,0.6327489614486694
2200,0.22898849844932556,22.67053985595703,0.5190029144287109
2300,0.18400149047374725,23.452373504638672,0.6202484369277954
2400,0.10021486133337021,25.615497589111328,0.8092588782310486
2500,0.11873804032802582,24.773988723754883,0.7672678828239441
2600,0.08144402503967285,26.154630661010742,0.8507117033004761
2700,0.0732666552066803,27.021297454833984,0.8655285239219666
